,code,Lat,Lon,he,geometry,dist,dist_to_france
1293,ALE3,40.84916479,-334.146546091,59.8152278,POINT (2877993.3243972473 4547308.223753321),19.553407942408626,1819566.4020080941
1347,ALNY,36.555547585,-328.011453099,62.835268,POINT (3560948.7522360687 4069344.9428314813),580.233206930775,2572995.492564392
1360,ALS2,-36.959766927,-185.528167188,112.7011289,POINT (19422115.586400997 -4114342.4341517133),247.58506166295544,1663337.7617460631
1382,ALWB,30.415703852,-87.826500698,-23.3639435,POINT (-9776801.335856447 3385860.6649236493),549.390494221149,3071882.8499858687
1393,AMA4,39.119776471,-343.923475088,58.8488535,POINT (1789630.566929217 4354793.596698405),138.6254527514152,796888.9352451495
1413,AME1,53.464432188,-354.078660063,47.9826219,POINT (659160.5466007174 5951633.366719666),751.7704249954397,387580.9851671982
1415,AME3,53.46472064,-354.078038494,46.5860185,POINT (659229.7393452844 5951665.477049424),700.4383983174366,387632.61823224387
1416,AME4,53.465046363,-354.078219757,47.4894494,POINT (659209.5612404254 5951701.736367923),671.8721584352701,387661.0220836866
1431,AMNH,21.500799193,-320.832424967,96.645268,POINT (4360114.508280892 2393458.017813187),869.8199761171991,3788996.427794969
1455,ANAP,44.88305324,-322.694032993,53.937825,POINT (4152881.2507699034 4996358.631924188),284.0072693935513,3102125.1356163737
1473,AND5,12.586346393,-81.700730865,16.2373774,POINT (-9094883.75733009 1401105.6714165155),182.56281121888418,2153739.010637491
1475,AND7,64.731982593,-182.522416855,84.3893146,POINT (19756714.18292227 7205931.340291808),16.117000759364732,9516263.651668804
1481,ANDR,37.886373959,-335.262909545,49.2352884,POINT (2753720.3131577433 4217491.85711942),537.4001447013305,1754574.1883305605
1489,ANG7,46.918626161,-71.093053919,36.841642,POINT (-7914042.561201821 5222957.572962483),682.3488252870739,1636055.0319908387
1509,ANMU,36.069015482,-327.134892858,39.7184634,POINT (3658526.991913815 4015184.4368709405),182.64908801452123,2680901.347377195
1524,ANT2,39.061063922,-351.545181899,68.1147777,POINT (941186.045753074 4348257.74564055),854.2585266727814,269782.36987343064
1535,ANTL,36.888449205,-329.333574665,88.8849941,POINT (3413770.852742144 4106403.3816541373),805.2746219907206,2421224.7356206584
1544,AOBS,-13.814667992,-171.780789943,38.7995784,POINT (-19122550.06452105 -1537841.806347575),651.5668203768666,487349.54470663896
1546,AONS,57.395298865,-348.074482778,45.5751028,POINT (1327542.5045994543 6389215.443579553),892.8321378299286,1026441.4038780908
1564,APNT,19.264409294,-155.201969781,42.0093083,POINT (-17277004.246133953 2144504.233041287),919.2750264004169,3433728.878135411
1646,ARG1,27.761011275,-15.681396101,67.8378864,POINT (-1745645.0288909457 3090341.6390393265),70.03617067109357,2322654.1108034356
1647,ARG2,38.175273407,-339.515221124,78.7685551,POINT (2280355.153489125 4249651.996561238),632.9071709344549,1293488.597271751
1671,ARKH,64.549297815,-319.473967921,60.9695604,POINT (4511337.25490615 7185594.963829166),141.02954400313175,3995150.329526472
