site_id;status;four_char_id;domes;date_installed;date_removed;X;Y;Z;Latitude;Longitude;Elevation;primaryDataCenter;secondaryDataCenter;SiteContact;location;state_province;country
CHTL00FRA;Active;CHTL;10099M001;1997-10-14T00:00Z;;4466577.884;497736.115;4511789.815;45.304139177046;6.3585603681002;850.305;RENAG (ftp://renag.resif.fr);IGN ( ftp://rgpdata.ign.fr and ftp://rgpdata.ensg.ign.fr);OSUG;Le Chatel;Savoie;France (FRA)
CLAP00FRA;Active;CLAP;10081M001;2003-04-05T00:00Z;;4543826.044;552040.54;4428864.207;44.248449805444;6.9270554486386;1369.848;RENAG;OMIV;OCA;Saint Etienne de Tinee;Alpes Maritimes;France (FRA)
CLFD00FRA;Active;CLFD;19986M001;2006-10-17T00:00Z;;4451153.919;241929.084;4547091;45.760965005925;3.111078662885;473.596;IGN SGN;IGN LAREG;OPGC;Clermont-Ferrand;Puy de Dome(63);France (FRA)
CRAL00FRA;Active;CRAL;19939M001;2010-02-09T13:00Z;;4662596.379;29882.438;4338374.979;43.128421096019;0.36720187603971;658.315;RENAG;IGN;OMP;Lannemezan;Hautes-Pyrenees;France (FRA)
CREF00FRA;Active;CREF;18303M001;2018-09-27T13:00Z;;4523714;525181.688;4453027.14;44.549438594706;6.6221225551983;1742.206;RENAG;;OSUG;Crevoux;Hautes_alpes;France (FRA)
DIPP00FRA;Active;DIPP;19628M001;2015-01-22T00:00Z;;4113192.928;77861.374;4857765.046;49.929191625;1.0844605277778;55.233;IGN;RENAG (ftp://renag.unice.fr);OASU;Dieppe;Haute Normandie;France (FRA)
DUNQ00FRA;Active;DUNQ;19670M001;2013-09-19T00:00Z;;4014478.617;165918.78;4936947.657;51.048064555556;2.3666930083333;51.086;IGN;RENAG (ftp://renag.unice.fr);OASU;Dunkerque;;France (FRA)
EOST00FRA;Active;EOST;10014M003;2007-04-12T00:00Z;;4188985.181;571026.51;4759936.197;48.579844732757;7.7624972888689;213.282;RENAGi (ftp://renag.unice.fr);IGN ftp://rgpdata.ign.fr or rgpdata.ensg.ign.fr;EOST;Strasbourg;Bas-Rhin;France (FRA)
ERCK00FRA;Active;ERCK;19954M001;2009-03-18T00:00Z;;4168605.02;538759.891;4781506.297;48.873029220313;7.3642136421504;296.122;RENAG ftp://renag.unice.fr;IGN ftp://rgpdata.ign.fr or rgpdata.ensg.ign.fr;EOST;Erckartswiller;Bas-Rhin;France (FRA)
FAJP00FRA;Active;FAJP;19640M001;2002-04-12T00:00Z;;4653568.246;164608.163;4344574.72;43.20737968224;2.0258481078819;367.966;RENAG;IGN;CNES;Fanjeaux;Aude (11);France (FRA)
FCLZ00FRA;Inactive;FCLZ;10098M001;1998-06-04T14:00Z;;4443368.489;465894.513;4538566.236;45.643002768911;5.9856856204198;1358.204;RENAG;;OSUG;Les Deserts;Savoie;France (FRA)
FIED00FRA;Active;FIED;19669M001;2013-09-20T00:00Z;;4354791.505;435806.012;4624932.576;46.772708122222;5.7148510222222;599.668;RENAG;OSU-THETA;THETA;Le Fied;Jura (39);France (FRA)
FILF00FRA;Active;FILF;18642M001;2014-09-03T00:00Z;;4701611.418;198457.689;4292258.493;42.560252252271;2.4170525717848;904.123;RENAG (ftp://renag.unice.fr);IGN ( ftp://rgpdata.ign.fr and ftp://rgpdata.ensg.ign.fr);OREME;Fillols;Pyrenees-Orientales;France (FRA)
FJC200FRA;Active;FJC2;10086M002;2017-06-20T12:00Z;;4662985.329;227642.192;4331634.091;43.048164208203;2.7949026214052;323.17;RENAG;IGN;CNES;Fontjoncouse;Aude (11);France (FRA)
FJCP00FRA;Decommissioned;FJCP;10086M001;2002-04-12T00:00Z;2017-06-20T12:00Z;4662984.988;227642.124;4331633.741;43.048164019043;2.794901991916;322.68;RENAG;IGN;CNES;Fontjoncouse;Aude (11);France (FRA)
FLGY00FRA;Active;FLGY;19673M001;2013-06-06T00:00Z;;4330024.32;464746.641;4645286.623;47.03998110903;6.1261712767674;671.819;RENAG;OSU-THETA;THETA;Flagey;Doubs (25);France (FRA)
GENF00FRA;Active;GENF;18329M001;2021-04-14T12:00Z;;4684281.426;128571.972;4313812.258;42.823390547222;1.5722330861111;1000.463;RENAG;IGN;OMP;Genat;Ariege;France (FRA)
GERL00FRA;Active;GERL;18658M001;2014-07-16T00:00Z;;4508447.849;432278.205;4478013.063;44.867248101363;5.4768812376348;1571.332;RENAG;;OSUG;Gresse-En-Vercors;Isere;France (FRA)
GINA00FRA;Active;GINA;10095M001;1998-02-05T18:00Z;;4597158.797;465907.286;4382366.99;43.675725316789;5.786984260252;381.968;RENAG;RGP;IRSN;Cadarache;Bouches du Rhone;France (FRA)
GRJF00FRA;Active;GRJF;18673M001;2010-09-01T00:00Z;;4492475.452;118734.115;4511417.39;45.302939244849;1.5139493593392;458.35;RENAG;;RESIF;Saint-Bonnet-l'Enfantier;Correze;France (FRA)
GUIL00FRA;Active;GUIL;19950M001;2007-11-12T11:50Z;;4514199.253;527251.23;4461552.932;44.662246463647;6.6618710923398;1171.058;RENAG;;OCA;Guillestre;Hautes Alpes;France (FRA)
HOLA00FRA;Active;HOLA;19645M001;2014-03-07T00:00Z;;4591090.184;258415.242;4406201.038;43.969754291866;3.2215652158139;759.778;RENAG (ftp://renag.unice.fr);IGN ( ftp://rgpdata.ign.fr and ftp://rgpdata.ensg.ign.fr);OREME;Hospitalet du Larzac;Aveyron;France (FRA)
IRAF00FRA;Active;IRAF;18322M001;2020-09-16T10:00Z;;4669718.471;-84529.112;4331222.561;43.033510645737;-1.0370287883657;1463.691;IGN;;OMP;Larrau;Pyrenees-Atlantiques;France (FRA)
