The Geodesy Plotter,Date: 2026-05-11 11:16:31,Total: 5789,"solution: SPOTGINS
productType: POSITION
"

NAME,EPOCH START,EPOCH END,UPDATED,DOI,REF FRAME,CONSTELLATION,DOWNLOAD URL,YEARS,FILL RATE,NETWORKS,ANALYSIS CENTER,SOLUTION,STATION,PRODUCT TYPE
SPOTGINS_0KTH00SWE.ENU,2014-02-11T00:00:00Z,2025-03-04T23:59:59Z,2026-04-08T09:27:29Z,,IGS20,GE,https://geodesy-plotter.ipgp.fr/data/0KTH00SWE/SPOTGINS_0KTH00SWE.enu,11.060232685628819,98.98514851485149,,ULR,SPOTGINS,0KTH00SWE,POSITION
SPOTGINS_0KVI00SWE.ENU,2010-02-16T00:00:00Z,2025-05-31T23:59:59Z,2025-07-15T10:48:08Z,,IGS20,G,https://geodesy-plotter.ipgp.fr/data/0KVI00SWE/SPOTGINS_0KVI00SWE.enu,15.28211267650265,98.17335243553008,,EOST,SPOTGINS,0KVI00SWE,POSITION
SPOTGINS_0LEK00SWE.ENU,2000-05-29T00:00:00Z,2025-05-31T23:59:59Z,2025-07-15T10:48:08Z,,IGS20,G,https://geodesy-plotter.ipgp.fr/data/0LEK00SWE/SPOTGINS_0LEK00SWE.enu,25.00821352067331,83.82964747098752,,EOST,SPOTGINS,0LEK00SWE,POSITION
SPOTGINS_0LIO00SWE.ENU,2018-04-13T00:00:00Z,2026-02-19T23:59:59Z,2026-04-27T06:44:16Z,,IGS20,GE,https://geodesy-plotter.ipgp.fr/data/0LIO00SWE/SPOTGINS_0LIO00SWE.enu,7.840406082845337,99.51219512195122,,ULR,SPOTGINS,0LIO00SWE,POSITION
SPOTGINS_0LOD00SWE.ENU,2002-09-09T00:00:00Z,2026-02-19T23:59:59Z,2026-04-08T09:33:59Z,,IGS20,GE,https://geodesy-plotter.ipgp.fr/data/0LOD00SWE/SPOTGINS_0LOD00SWE.enu,23.44067986792405,95.53998832457677,,ULR,SPOTGINS,0LOD00SWE,POSITION
SPOTGINS_0MLA00SWE.ENU,2006-06-28T00:00:00Z,2025-05-31T23:59:59Z,2025-07-15T10:48:08Z,,IGS20,G,https://geodesy-plotter.ipgp.fr/data/0MLA00SWE/SPOTGINS_0MLA00SWE.enu,18.911704280426903,99.27662037037037,,EOST,SPOTGINS,0MLA00SWE,POSITION
SPOTGINS_0MOS00SWE.ENU,2013-07-12T00:00:00Z,2024-12-19T23:59:59Z,2026-04-08T09:27:41Z,,IGS20,GE,https://geodesy-plotter.ipgp.fr/data/0MOS00SWE/SPOTGINS_0MOS00SWE.enu,11.432466315562653,99.32998324958125,,ULR,SPOTGINS,0MOS00SWE,POSITION
SPOTGINS_0NOR00SWE.ENU,2000-05-29T00:00:00Z,2025-05-31T23:59:59Z,2025-07-15T10:48:08Z,,IGS20,G,https://geodesy-plotter.ipgp.fr/data/0NOR00SWE/SPOTGINS_0NOR00SWE.enu,25.00821352067331,84.23472739216116,,EOST,SPOTGINS,0NOR00SWE,POSITION
SPOTGINS_0NYB00SWE.ENU,2006-08-11T00:00:00Z,2026-02-17T23:59:59Z,2026-04-08T09:32:10Z,,IGS20,G,https://geodesy-plotter.ipgp.fr/data/0NYB00SWE/SPOTGINS_0NYB00SWE.enu,19.511863988389486,99.1586032814472,,ULR,SPOTGINS,0NYB00SWE,POSITION
SPOTGINS_0NYK00SWE.ENU,2015-04-15T00:00:00Z,2026-02-19T23:59:59Z,2026-04-27T06:44:31Z,,IGS20,GE,https://geodesy-plotter.ipgp.fr/data/0NYK00SWE/SPOTGINS_0NYK00SWE.enu,10.834930381271073,84.78809283551968,,ULR,SPOTGINS,0NYK00SWE,POSITION
SPOTGINS_0OKC00SWE.ENU,2013-01-11T00:00:00Z,2026-02-19T23:59:59Z,2026-04-08T09:28:36Z,,IGS20,GE,https://geodesy-plotter.ipgp.fr/data/0OKC00SWE/SPOTGINS_0OKC00SWE.enu,13.106776149010065,99.08103592314119,,ULR,SPOTGINS,0OKC00SWE,POSITION
SPOTGINS_0OSK00SWE.ENU,2000-05-29T00:00:00Z,2025-05-31T23:59:59Z,2025-07-15T10:48:08Z,,IGS20,G,https://geodesy-plotter.ipgp.fr/data/0OSK00SWE/SPOTGINS_0OSK00SWE.enu,25.00821352067331,83.87343989489818,,EOST,SPOTGINS,0OSK00SWE,POSITION
SPOTGINS_0OST00SWE.ENU,2000-05-28T00:00:00Z,2025-05-31T23:59:59Z,2025-07-15T10:48:08Z,,IGS20,G,https://geodesy-plotter.ipgp.fr/data/0OST00SWE/SPOTGINS_0OST00SWE.enu,25.01095137146044,84.05955769651851,,EOST,SPOTGINS,0OST00SWE,POSITION
