#VERSION 1.0
#RADIUS    0.6378137000000000E+07
#1/FLAT    0.2982572221010000E+03
#ITRF2020

 1064905 GRG3 KETG00ATF  TRIMBLE NETR9         ecc_une        0.020100 0.000000        0.000000 0.000000        0.000000 0.000000            TRM41249.00     UNKN 12541846             0.0 20160420_120000 20990101_000000 log_file

   10760      MARS00FRA                        mar_xyz  4630532.800000 0.000001   433946.100000 0.000001  4350142.600000 0.000001 vit_xyz  0.00000 0.0000  0.00000 0.0000  0.00000 0.0000  20100101_000000                 i20i20
 1076000 GRG3 MARS00FRA  TRIMBLE 4000SSI       ecc_une        0.070000 0.000000        0.000000 0.000000        0.000000 0.000000            TRM29659.00     NONE 0220101987           0.0 19980716_150000 19990803_000000 log_file
 1076001 GRG3 MARS00FRA  TRIMBLE 4000SSI       ecc_une        0.070000 0.000000        0.000000 0.000000        0.000000 0.000000            TRM29659.00     NONE 0220101987           0.0 19990803_000000 20030313_000000 log_file
 1076002 GRG3 MARS00FRA  LEICA RS500           ecc_une        0.070000 0.000000        0.000000 0.000000        0.000000 0.000000            LEIAT504        NONE 731                  0.0 20030328_000000 20040728_000000 log_file
 1076003 GRG3 MARS00FRA  LEICA RS500           ecc_une        0.070000 0.000000        0.000000 0.000000        0.000000 0.000000            ASH701945E_M    SCIS CR52002418           0.0 20040728_000000 20040729_000000 log_file
 1076004 GRG3 MARS00FRA  ASHTECH UZ-12         ecc_une        0.070000 0.000000        0.000000 0.000000        0.000000 0.000000            ASH701945E_M    SCIS CR52002418           0.0 20040729_000000 20071024_000000 log_file
 1076005 GRG3 MARS00FRA  LEICA RS500           ecc_une        0.070000 0.000000        0.000000 0.000000        0.000000 0.000000            ASH701945E_M    SCIS CR52002418           0.0 20071024_000000 20080702_000000 log_file
 1076006 GRG3 MARS00FRA  LEICA GRX1200GGPRO    ecc_une        0.070000 0.000000        0.000000 0.000000        0.000000 0.000000            ASH701945E_M    SCIS CR52002418           0.0 20080702_000000 20090318_000000 log_file
 1076007 GRG3 MARS00FRA  LEICA GRX1200GGPRO    ecc_une        0.070000 0.000000        0.000000 0.000000        0.000000 0.000000            LEIAT504GG      LEIS 828                  0.0 20090318_000000 20090511_000000 log_file
 1076008 GRG3 MARS00FRA  LEICA GRX1200GGPRO    ecc_une        0.070000 0.000000        0.000000 0.000000        0.000000 0.000000            LEIAT504GG      LEIS 828                  0.0 20090511_000000 20101018_060000 log_file
 1076009 GRG3 MARS00FRA  LEICA GRX1200GGPRO    ecc_une        0.070000 0.000000        0.000000 0.000000        0.000000 0.000000            LEIAT504GG      LEIS 828                  0.0 20101018_060000 20110323_120000 log_file
 1076010 GRG3 MARS00FRA  LEICA GRX1200GGPRO    ecc_une        0.070000 0.000000        0.000000 0.000000        0.000000 0.000000            LEIAT504GG      LEIS 828                  0.0 20110323_120000 20110614_080000 log_file
 1076011 GRG3 MARS00FRA  LEICA GRX1200GGPRO    ecc_une        0.070000 0.000000        0.000000 0.000000        0.000000 0.000000            LEIAT504GG      LEIS 828                  0.0 20110614_080000 20111012_130000 log_file
 1076012 GRG3 MARS00FRA  LEICA GRX1200GGPRO    ecc_une        0.070000 0.000000        0.000000 0.000000        0.000000 0.000000            LEIAT504GG      LEIS 828                  0.0 20111012_130000 20120926_130000 log_file
